[00:03:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Coal'/560628, l='ServerLevel[world]', x=-212.32, y=16.38, z=296.49]
[00:10:40] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/569330, l='ServerLevel[world]', x=-213.68, y=16.67, z=291.71]
[00:11:18] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/570072, l='ServerLevel[world]', x=-179.53, y=7.63, z=287.27]
[00:12:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/571841, l='ServerLevel[world]', x=-203.37, y=14.70, z=288.52]
[00:12:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/571842, l='ServerLevel[world]', x=-206.43, y=14.63, z=289.65]
[00:15:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/575575, l='ServerLevel[world]', x=-212.73, y=43.57, z=286.59]
[00:15:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/575956, l='ServerLevel[world]', x=-177.27, y=9.55, z=286.58]
[00:16:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/576354, l='ServerLevel[world]', x=-176.60, y=10.41, z=285.67]
[00:16:48] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/576909, l='ServerLevel[world]', x=-197.44, y=9.53, z=282.32]
[00:16:48] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/576910, l='ServerLevel[world]', x=-201.34, y=10.56, z=281.70]
[00:19:41] [Server thread/WARN]: Fetching packet for removed entity class_1542['Redstone Dust'/580372, l='ServerLevel[world]', x=-207.60, y=11.38, z=284.55]
[00:20:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/581438, l='ServerLevel[world]', x=-194.29, y=10.28, z=278.49]
[00:20:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/581439, l='ServerLevel[world]', x=-195.41, y=9.39, z=278.34]
[00:20:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/581440, l='ServerLevel[world]', x=-197.40, y=8.40, z=278.43]
[00:20:50] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/581777, l='ServerLevel[world]', x=-207.61, y=10.56, z=284.53]
[00:20:53] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/581838, l='ServerLevel[world]', x=-192.58, y=8.67, z=279.43]
[00:21:33] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/582588, l='ServerLevel[world]', x=-302.13, y=70.01, z=361.63]
[00:21:37] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/582714, l='ServerLevel[world]', x=-201.55, y=10.31, z=280.38]
[00:21:37] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/582715, l='ServerLevel[world]', x=-201.61, y=8.61, z=279.38]
[00:21:37] [Server thread/WARN]: Fetching packet for removed entity class_1542['Redstone Dust'/582716, l='ServerLevel[world]', x=-201.75, y=10.37, z=279.70]
[00:21:37] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/582717, l='ServerLevel[world]', x=-201.48, y=11.41, z=281.29]
[00:21:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/582783, l='ServerLevel[world]', x=-203.57, y=10.39, z=281.50]
[00:21:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/583144, l='ServerLevel[world]', x=-199.48, y=5.72, z=281.61]
[00:21:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/583145, l='ServerLevel[world]', x=-197.45, y=4.61, z=282.35]
[00:23:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/585414, l='ServerLevel[world]', x=-210.53, y=11.69, z=280.62]
[00:23:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/585427, l='ServerLevel[world]', x=-211.35, y=42.73, z=279.65]
[00:25:07] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/587148, l='ServerLevel[world]', x=-181.25, y=5.68, z=272.71]
[00:25:07] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/587149, l='ServerLevel[world]', x=-180.35, y=8.40, z=275.73]
[00:26:56] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/589323, l='ServerLevel[world]', x=-202.49, y=10.29, z=274.72]
[00:28:37] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/591280, l='ServerLevel[world]', x=-184.70, y=8.37, z=271.43]
[00:28:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/591566, l='ServerLevel[world]', x=-213.72, y=41.35, z=272.29]
[00:28:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/591567, l='ServerLevel[world]', x=-216.48, y=47.49, z=274.45]
[00:28:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/591568, l='ServerLevel[world]', x=-215.56, y=41.60, z=273.63]
[00:28:49] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/591569, l='ServerLevel[world]', x=-216.39, y=43.67, z=273.46]
[00:29:04] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/591907, l='ServerLevel[world]', x=-191.39, y=26.60, z=272.29]
[00:29:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/592657, l='ServerLevel[world]', x=-198.34, y=4.71, z=276.64]
[00:29:44] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/592680, l='ServerLevel[world]', x=-202.52, y=8.29, z=280.62]
[00:31:00] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/594275, l='ServerLevel[world]', x=-200.40, y=5.59, z=278.50]
[00:31:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/595286, l='ServerLevel[world]', x=-213.36, y=43.48, z=270.40]
[00:32:50] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/596504, l='ServerLevel[world]', x=-207.66, y=30.70, z=270.74]
[00:34:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599145, l='ServerLevel[world]', x=-214.66, y=37.72, z=265.71]
[00:34:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599146, l='ServerLevel[world]', x=-214.43, y=34.40, z=265.50]
[00:34:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599262, l='ServerLevel[world]', x=-209.63, y=31.66, z=265.73]
[00:35:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599298, l='ServerLevel[world]', x=-208.25, y=16.53, z=265.51]
[00:35:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/599299, l='ServerLevel[world]', x=-206.57, y=16.59, z=264.59]
[00:35:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599300, l='ServerLevel[world]', x=-208.36, y=16.68, z=266.57]
[00:35:07] [Server thread/WARN]: Fetching packet for removed entity class_1542['Coal'/599440, l='ServerLevel[world]', x=-190.70, y=21.63, z=265.60]
[00:35:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599488, l='ServerLevel[world]', x=-195.37, y=16.50, z=263.50]
[00:35:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Dirt'/599489, l='ServerLevel[world]', x=-191.28, y=18.50, z=263.75]
[00:35:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599490, l='ServerLevel[world]', x=-190.27, y=16.61, z=264.41]
[00:35:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/599492, l='ServerLevel[world]', x=-190.35, y=17.65, z=263.55]
[00:35:53] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/600359, l='ServerLevel[world]', x=-211.69, y=29.68, z=265.28]
[00:36:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/601334, l='ServerLevel[world]', x=-182.46, y=16.37, z=264.51]
[00:38:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Dirt'/603144, l='ServerLevel[world]', x=-193.53, y=18.29, z=260.54]
[00:38:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/603145, l='ServerLevel[world]', x=-189.38, y=19.70, z=264.71]
[00:38:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Dirt'/603148, l='ServerLevel[world]', x=-193.37, y=18.59, z=261.37]
[00:38:53] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/603965, l='ServerLevel[world]', x=-211.47, y=15.58, z=265.62]
[00:38:55] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/604018, l='ServerLevel[world]', x=-212.42, y=32.60, z=264.27]
[00:39:03] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/604203, l='ServerLevel[world]', x=-206.43, y=14.56, z=260.38]
[00:40:11] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/605667, l='ServerLevel[world]', x=-200.67, y=11.72, z=266.53]
[00:40:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/605704, l='ServerLevel[world]', x=-189.57, y=16.35, z=260.51]
[00:41:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/606666, l='ServerLevel[world]', x=-214.70, y=59.27, z=260.46]
[00:41:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/606667, l='ServerLevel[world]', x=-215.74, y=59.38, z=261.73]
[00:41:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/606951, l='ServerLevel[world]', x=-185.39, y=13.32, z=259.44]
[00:41:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/606952, l='ServerLevel[world]', x=-189.30, y=11.73, z=260.51]
[00:41:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/606953, l='ServerLevel[world]', x=-185.64, y=10.50, z=259.55]
[00:41:47] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/607592, l='ServerLevel[world]', x=-184.48, y=7.65, z=257.46]
[00:41:47] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/607593, l='ServerLevel[world]', x=-185.37, y=5.34, z=256.68]
[00:42:46] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/608833, l='ServerLevel[world]', x=-191.71, y=4.68, z=261.50]
[00:42:46] [Server thread/WARN]: Fetching packet for removed entity class_1542['Dirt'/608835, l='ServerLevel[world]', x=-193.41, y=5.69, z=263.43]
[00:42:46] [Server thread/WARN]: Fetching packet for removed entity class_1542['Dirt'/608836, l='ServerLevel[world]', x=-192.26, y=8.27, z=263.66]
[00:42:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/608944, l='ServerLevel[world]', x=-196.44, y=11.61, z=258.30]
[00:42:51] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/608946, l='ServerLevel[world]', x=-198.69, y=14.60, z=258.44]
[00:43:56] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/610341, l='ServerLevel[world]', x=-203.45, y=10.52, z=260.59]
[00:44:04] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/610504, l='ServerLevel[world]', x=-215.43, y=35.43, z=257.74]
[00:44:04] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/610505, l='ServerLevel[world]', x=-218.32, y=36.58, z=259.73]
[00:44:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/610611, l='ServerLevel[world]', x=-203.62, y=13.35, z=255.32]
[00:44:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/610710, l='ServerLevel[world]', x=-194.29, y=16.51, z=257.30]
[00:44:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/610739, l='ServerLevel[world]', x=-189.28, y=11.27, z=261.48]
[00:44:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/610740, l='ServerLevel[world]', x=-188.42, y=10.36, z=256.55]
[00:47:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/614296, l='ServerLevel[world]', x=-213.51, y=37.28, z=255.66]
[00:49:04] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/616732, l='ServerLevel[world]', x=-217.29, y=30.71, z=257.50]
[00:49:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/617746, l='ServerLevel[world]', x=-195.58, y=9.54, z=250.49]
[00:50:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/618001, l='ServerLevel[world]', x=-215.45, y=20.46, z=251.38]
[00:50:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/618002, l='ServerLevel[world]', x=-215.26, y=21.51, z=253.32]
[00:50:06] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/618003, l='ServerLevel[world]', x=-215.61, y=19.51, z=250.47]
[00:50:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Sand'/618049, l='ServerLevel[world]', x=-214.59, y=49.65, z=253.52]
[00:51:04] [Server thread/INFO]: Player shuijiao is already logged on
[00:51:56] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/620290, l='ServerLevel[world]', x=-193.69, y=11.73, z=251.68]
[00:55:00] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/624099, l='ServerLevel[world]', x=-199.75, y=11.43, z=245.46]
[00:55:00] [Server thread/WARN]: Fetching packet for removed entity class_1542['Gravel'/624100, l='ServerLevel[world]', x=-199.48, y=8.65, z=244.48]
[00:55:00] [Server thread/WARN]: Fetching packet for removed entity class_1542['Flint'/624101, l='ServerLevel[world]', x=-199.71, y=9.51, z=243.30]
[00:55:00] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/624102, l='ServerLevel[world]', x=-200.65, y=9.61, z=243.34]
[00:55:00] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/624103, l='ServerLevel[world]', x=-199.29, y=10.65, z=245.39]
[00:55:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/624757, l='ServerLevel[world]', x=-178.63, y=8.44, z=246.69]
[00:55:28] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/624758, l='ServerLevel[world]', x=-179.41, y=10.60, z=245.58]
[00:58:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/628258, l='ServerLevel[world]', x=-203.42, y=10.63, z=245.30]
[00:58:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/628935, l='ServerLevel[world]', x=-178.73, y=9.32, z=242.66]
[00:59:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/629087, l='ServerLevel[world]', x=-188.73, y=10.70, z=242.51]
[00:59:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/629090, l='ServerLevel[world]', x=-189.62, y=4.65, z=240.67]
[00:59:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/629091, l='ServerLevel[world]', x=-187.73, y=8.43, z=240.44]
[00:59:01] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/629092, l='ServerLevel[world]', x=-187.53, y=9.46, z=240.51]
[00:59:02] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/629122, l='ServerLevel[world]', x=-198.48, y=6.31, z=241.39]
[00:59:12] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/629342, l='ServerLevel[world]', x=-219.60, y=22.54, z=245.59]
[00:59:12] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/629343, l='ServerLevel[world]', x=-219.54, y=22.36, z=248.28]
[00:59:18] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/629480, l='ServerLevel[world]', x=-209.30, y=14.35, z=241.55]
[00:59:50] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/630083, l='ServerLevel[world]', x=-181.35, y=6.46, z=238.46]
[01:00:05] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/630414, l='ServerLevel[world]', x=-199.55, y=6.46, z=244.48]
[01:00:08] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/630470, l='ServerLevel[world]', x=-205.48, y=13.51, z=245.60]
[01:00:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/630697, l='ServerLevel[world]', x=-211.54, y=24.55, z=240.73]
[01:00:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/630698, l='ServerLevel[world]', x=-210.40, y=25.49, z=241.30]
[01:01:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/631774, l='ServerLevel[world]', x=-215.73, y=51.63, z=242.72]
[01:01:14] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/631775, l='ServerLevel[world]', x=-215.46, y=52.68, z=242.40]
[01:03:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Redstone Dust'/634179, l='ServerLevel[world]', x=-211.57, y=15.65, z=239.61]
[01:03:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/634180, l='ServerLevel[world]', x=-211.32, y=16.55, z=238.58]
[01:03:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/634181, l='ServerLevel[world]', x=-210.25, y=16.37, z=238.71]
[01:04:20] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/635608, l='ServerLevel[world]', x=-211.36, y=15.73, z=237.51]
[01:05:04] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/636447, l='ServerLevel[world]', x=-191.47, y=12.51, z=236.39]
[01:05:21] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/636841, l='ServerLevel[world]', x=-207.33, y=13.67, z=236.54]
[01:06:21] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/638051, l='ServerLevel[world]', x=-215.46, y=15.35, z=239.32]
[01:09:20] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/641622, l='ServerLevel[world]', x=-217.43, y=28.31, z=235.55]
[01:10:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/642669, l='ServerLevel[world]', x=-198.36, y=14.51, z=232.35]
[01:10:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/642670, l='ServerLevel[world]', x=-201.55, y=13.74, z=232.59]
[01:11:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/644215, l='ServerLevel[world]', x=-204.28, y=12.41, z=230.43]
[01:11:29] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/644216, l='ServerLevel[world]', x=-200.74, y=12.50, z=229.26]
[01:11:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/644443, l='ServerLevel[world]', x=-185.35, y=10.44, z=230.52]
[01:11:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/644444, l='ServerLevel[world]', x=-186.54, y=9.31, z=230.39]
[01:12:13] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/645063, l='ServerLevel[world]', x=-197.33, y=9.74, z=236.58]
[01:12:16] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/645140, l='ServerLevel[world]', x=-201.58, y=12.26, z=228.28]
[01:13:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Iron Ore'/646445, l='ServerLevel[world]', x=-214.51, y=11.32, z=227.54]
[01:13:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/646447, l='ServerLevel[world]', x=-213.60, y=13.39, z=227.62]
[01:13:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/646882, l='ServerLevel[world]', x=-177.55, y=7.74, z=227.66]
[01:13:43] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diamond'/646883, l='ServerLevel[world]', x=-178.43, y=9.30, z=227.33]
[01:14:26] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/647667, l='ServerLevel[world]', x=-215.73, y=45.56, z=228.54]
[01:14:26] [Server thread/WARN]: Fetching packet for removed entity class_1542['Iron Ore'/647668, l='ServerLevel[world]', x=-216.55, y=47.74, z=230.51]
[01:14:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/647698, l='ServerLevel[world]', x=-210.51, y=12.45, z=225.30]
[01:14:27] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/647699, l='ServerLevel[world]', x=-211.42, y=11.57, z=226.34]
[01:14:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/648094, l='ServerLevel[world]', x=-177.36, y=9.61, z=226.73]
[01:14:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/648095, l='ServerLevel[world]', x=-177.50, y=9.68, z=227.67]
[01:15:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/649143, l='ServerLevel[world]', x=-187.65, y=9.59, z=228.64]
[01:16:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/649875, l='ServerLevel[world]', x=-202.64, y=6.60, z=236.72]
[01:16:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Coal'/649876, l='ServerLevel[world]', x=-203.43, y=4.48, z=238.36]
[01:16:19] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/649877, l='ServerLevel[world]', x=-203.51, y=6.39, z=238.68]
[01:16:20] [Server thread/WARN]: Fetching packet for removed entity class_1542['Granite'/649901, l='ServerLevel[world]', x=-204.37, y=8.63, z=229.35]
[01:16:21] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/649931, l='ServerLevel[world]', x=-205.73, y=9.30, z=224.43]
[01:16:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/650183, l='ServerLevel[world]', x=-200.63, y=7.44, z=227.58]
[01:16:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/650184, l='ServerLevel[world]', x=-200.37, y=8.49, z=225.63]
[01:17:30] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/651256, l='ServerLevel[world]', x=-209.71, y=14.33, z=225.39]
[01:19:15] [Server thread/WARN]: Fetching packet for removed entity class_1542['Redstone Dust'/653283, l='ServerLevel[world]', x=-192.26, y=2.41, z=223.27]
[01:20:32] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/654011, l='ServerLevel[world]', x=-209.41, y=13.74, z=221.73]
[01:22:22] [Server thread/WARN]: Fetching packet for removed entity class_1542['Diorite'/654927, l='ServerLevel[world]', x=-200.70, y=7.38, z=220.74]
[01:22:33] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/655042, l='ServerLevel[world]', x=-209.56, y=13.33, z=219.25]
[01:24:24] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/655967, l='ServerLevel[world]', x=-202.43, y=5.74, z=223.72]
[01:24:34] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/656045, l='ServerLevel[world]', x=-209.54, y=14.58, z=218.70]
[01:25:35] [Server thread/WARN]: Fetching packet for removed entity class_1542['Gold Ore'/656588, l='ServerLevel[world]', x=-213.36, y=12.66, z=217.54]
[01:26:39] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/657146, l='ServerLevel[world]', x=-204.42, y=7.34, z=216.45]
[01:27:56] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/657822, l='ServerLevel[world]', x=-177.48, y=5.66, z=209.61]
[01:27:56] [Server thread/WARN]: Fetching packet for removed entity class_1542['Andesite'/657823, l='ServerLevel[world]', x=-180.54, y=3.58, z=210.60]
[01:27:56] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/657824, l='ServerLevel[world]', x=-178.64, y=6.65, z=209.28]
[01:28:36] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/658143, l='ServerLevel[world]', x=-216.62, y=37.56, z=215.39]
[01:31:45] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/659713, l='ServerLevel[world]', x=-203.33, y=8.64, z=211.47]
[01:31:54] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/659794, l='ServerLevel[world]', x=-183.37, y=5.42, z=207.66]
[01:32:25] [Server thread/WARN]: Fetching packet for removed entity class_1542['Redstone Dust'/660023, l='ServerLevel[world]', x=-188.41, y=6.34, z=206.45]
[01:32:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Cobblestone'/660183, l='ServerLevel[world]', x=-210.39, y=9.49, z=208.51]
[01:32:42] [Server thread/WARN]: Fetching packet for removed entity class_1542['Coal'/660184, l='ServerLevel[world]', x=-214.64, y=7.71, z=207.60]
